	ABL1	BHLHE40	BRCA1	CRKL	EGR1	ETS1	FOS	GATA2	HDAC2	JUN	MYC	NR3C1	STAT3	description
1	-2.48944865248043	-0.645510560198071	0.349336300859849	-2.14360678926421	-1.57050722346463	0.307589403588721	-1.01750587761143	-1.733519081577	1.50194743709584	-1.59114419635426	-3.06363566356822	-0.944571398129292	0.904853455995408	CCL
2	-2.28505187681136	-1.00852911788542	-1.255652291558	-2.26067027413405	1.50426500781071	-0.0274498218773893	0.0879940899172033	-1.28867074825911	1.23718404169714	-0.0722221889977188	-3.8151438782191	-1.68692178675547	1.32023484997838	CCL
3	-0.0287618898903155	1.5434470039822	-0.603349546209896	-0.355652613814939	1.86812043727026	2.02913374197774	2.4522192480653	0.0451061737575597	-0.0389858304438665	1.87304653491589	-1.40210248562949	-0.202466285656007	1.04841408666274	CCL
4	1.07876718925839	0.467015605729901	0.116051707814354	-0.0896553985415882	1.36865286441276	1.03163774305344	2.1327568122276	0.30420953261547	0.175738514645768	1.21770659551226	-1.84735497217205	0.718371143608743	0.197772756886984	CCL
5	0.226963504594766	-0.240856846419991	-1.69636005535723	0.338205420809794	-0.197971255015348	-0.992171832840006	1.05962458263857	-0.731861003019419	-0.144313025231323	-0.111071395044269	1.07906152930928	0.0981371214173322	-0.316049927771424	CCL
6	-1.11006826640014	-1.33790579684435	-0.901262213103026	-0.412818318891706	-0.33328239404871	-0.248148421706783	-1.35793217735971	0.898581258756491	-0.763574844969327	-1.46828554136698	0.155015304850126	-1.55821765363252	-0.822951998044079	CCL
7	-0.12341603931569	-1.22430618484586	-1.7677645765871	1.06235772140274	-1.54942811340287	-1.12506368189104	-1.14323968374181	1.05297475230922	-1.29731415710105	-1.25924611138494	1.53788141957033	1.01359193596458	-0.129410072361645	CCL
8	0.355788476970173	0.268319717200252	0.206404289145158	0.407023063688802	0.992602766393601	0.781919157767939	0.0484524089532909	0.848889302696108	-2.23167851646786	-1.12384979350688	1.75473553045259	-1.41579891551173	-0.294548354694078	CCL
9	-0.806868315532071	-1.11785037742868	-0.242071493552372	0.0958937704727373	-1.20861771227214	-0.584465227611435	-2.45106633730314	-0.0783673892914798	-1.90608143691633	-1.06573625299013	0.976960207202061	-1.36990595924575	1.06319128965256	CCL
10	0.211097451386989	-0.216871595483392	-0.800862497148476	0.188919801726763	0.595928866961605	0.874052609384525	-0.311655230177073	2.45879452722354	-1.89865910494861	1.25223616737261	2.14887427219636	0.293816931221484	-0.527623641047833	CCL
11	1.45842085290441	-1.40667879379112	1.1236882227121	0.93335388154484	1.00923066169739	0.712160859230757	1.2243241378854	1.48430960586395	-0.271808344965785	0.803038739661372	2.75635352580223	0.796353244376874	-1.17442359844212	CCL
12	0.846630743249826	-0.361210420924702	-0.873941581535015	0.845554417946598	-0.502128945958557	-1.02976394666218	-0.942235937385139	-0.354495416229752	-0.409563863817962	0.581710299395624	1.39599742772669	0.696296040533249	-1.59061523559188	CCL
13	0.199560730957082	0.0884195200724379	-1.51640132390722	0.943462402679844	0.520724899956729	0.310292544393364	1.99736731880856	0.449997438898901	-1.40442252220994	2.23521996389607	2.15343708059935	1.40250613526526	-2.12552672890813	CCL
14	1.03642552310352	0.300717412747307	0.25308671059291	-0.653817098251747	1.36197581230569	0.610425133498032	1.21879615755234	0.604153068074248	-2.08710884699882	2.75257620904829	3.15703996985122	1.05403680755787	-1.63334498625507	CCL
15	0.587131363155189	0.534625207883439	1.52218334389843	-0.863850191503206	1.46315212004319	1.35121288320237	-0.946106809740492	-0.352518167454997	0.132419207692522	1.04525177030545	2.58640488135427	0.759001556168049	-0.506498027669942	CCL
16	-1.00779601294023	-1.36088161326019	1.32805091056553	-0.2240669495916	-0.602099698372245	-0.452427145365613	-0.546971240782269	-0.343284311295724	0.437469018941672	-0.321299708188457	-2.00971604468101	-0.286547853812072	-0.0323690568309725	CCL
17	-1.42396693015571	-0.809925211330878	1.21887952090862	1.14423564708254	-1.08082738768604	-0.408250716804948	-2.09897368497472	1.0040187145316	-0.0666186148661092	-2.18592779233635	-1.62445556081878	-0.819942414094098	1.30825578377665	CCL
18	-0.632402430317742	0.538124205302465	0.416882819606389	-0.222659217616737	-0.742126158812276	-1.25139918616426	-0.899267525316778	-0.775061792087953	0.553212716236782	-0.809604996608204	-1.60335875608294	-1.12284465307323	1.65897964604069	CCL
19	1.02190412185563	-2.20688697780409	-1.17490101191044	1.06210701438118	-2.5797635648749	1.17153722773582	2.03942103421923	0.825583736935553	0.524255871960488	-0.922101825478225	0.586924243336995	0.500767414048177	0.851568916640376	CCL
20	-0.544219030012589	-0.301812186581172	-1.05357346669004	-0.195783175282052	-1.64428804624179	-0.82094828346327	-1.47033591804446	1.64855855751882	1.45812629578186	-2.19579043432055	-2.33380520195031	1.92668484902384	0.729688138226543	CCL
21	0.225927809570044	-0.352040330399461	2.13001751378273	-0.684972869523642	-1.12437096802501	-0.0825699300548959	-0.813509906327023	-1.39144566153338	2.9525008297763	-0.571632655683254	-1.81785660261121	-0.295838825199988	0.559742659763294	CCL
22	2.08842068266589	0.988910540002258	1.03213878248292	0.972977163802715	2.14099772825082	-0.505279468933862	1.15729687500165	-0.17995559213565	0.860087211979538	1.03237920601701	0.156879522984188	-0.151179925671276	-1.69511337696867	CCL
