name	Activity
VDR	0
HMGN3	-2.82685142199
CRKL	0
MAP2K2	1.0
DUSP22	0
REL	0
ABL1	1.52287627326
SORBS3	0
IER3	0
NCOR2	0
BCR	2.42686031753
PECAM1	0
CIITA	0
TFCP2	0
RB1	0
MAPK1	1.0
PGR	0
PML	0
RELA	0
DUSP6	0
DUSP1	0
ETS1	-2.13739506005
SRF	1.95543932185
TCF3	0
NCOA3	0
CDC25C	0
MTPN	0
TNIP1	0
TPR	0
CFL1	0
BRF1	0
PTPN7	0
GTF2F1	0
ID1	0
STAT5A	0
ELK1	0
ATF2	0
