id	Type	QL-XII-47_0.37	GDC-0941_0.37	AS-601245_1.11	dasatinib_0.37	GSK-1059615_1.11	NVP-BEZ235_0.04	crizotinib_10	PHA-665752_10	trametinib_3.33	NVP-BEZ235_0.37	BRD-K54997624_3.33	BRD-K88573743_0.12	QL-X-138_10	BRD-K54997624_10	BRD-K94012289_10	GSK-2126458_1.11	afatinib_10	ZSTK-474_3.33	neratinib_3.33	BRD-K54997624_1.11	JW-7-24-1_10	BRD-A18328003_0.37	GSK-1059615_3.33	GDC-0941_1.11	AZD-8055_0.12	PI-103_0.37	JW-7-24-1_3.33	WYE-125132_0.37	BRD-K88573743_1.11	BRD-K20696416_10	NVP-BEZ235_1.11	NVP-TAE684_10	BRD-K29395450_10	AZD-8055_10	trametinib_1.11	nilotinib_10	LDN-193189_3.33	AS-605240_10	GSK-2126458_0.37	torin-2_0.04	torin-1_10	PI-103_1.11	QL-XII-47_1.11	BRD-A18328003_0.04	JW-7-24-1_1.11	foretinib_10	sorafenib_10	PD-0325901_10	saracatinib_10	AZD-8055_0.04	GSK-1059615_10	canertinib_3.33	WYE-125132_3.33	trametinib_0.37	PD-0325901_1.11	AZD-6482_10	SU-11274_10	NVP-BEZ235_3.33	QL-X-138_1.11	BRD-U51024685_10	PI-103_3.33	torin-2_0.12	ZSTK-474_10	BRD-U61997977_10	AZD-8055_0.37	selumetinib_3.33	GDC-0941_10	BRD-A18328003_0.12	torin-2_3.33	QL-X-138_3.33	JNK-9L_10	AZD-8055_3.33	NVP-BEZ235_10	BRD-A18328003_1.11	GSK-2126458_0.12	BRD-U60236422_10	BRD-K94012289_3.33	torin-1_0.37	BRD-U60236422_1.11	GSK-2126458_3.33	AKT-inhibitor-1-2_10	dovitinib_10	PI-103_10	AZD-8330_10	buparlisib_10	WYE-125132_0.04	JNK-9L_0.37	torin-1_1.11	torin-2_0.37	BRD-K88573743_10	ZSTK-474_0.37	GSK-2126458_0.04	AZD-8055_1.11	PD-184352_10	BRD-K88573743_3.33	trametinib_10	BRD-A18328003_3.33	JNK-9L_3.33	BRD-K94012289_1.11	MK-2206_10	ZSTK-474_1.11	GSK-690693_3.33	dasatinib_10	BRD-U61997977_3.33	torin-1_0.12	JNK-9L_1.11	WYE-125132_1.11	GDC-0941_3.33	buparlisib_1.11	buparlisib_3.33	BRD-K88573743_0.37	LDN-193189_1.11	BRD-K94012289_0.37	QL-XII-47_0.12	BRD-A18328003_10	linifanib_10	NVP-TAE684_3.33	NVP-BEZ235_0.12	canertinib_10	pelitinib_3.33	torin-1_0.04	WYE-125132_10	dasatinib_3.33	WYE-125132_0.12
RICTOR	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
RPTOR	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
PIK3C3	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
PIK3CA	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
PIK3CB	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
PDPK	Genomic_Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CD	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
PIK3CG	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
PIK3R6	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
PIK3R5	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
PIK3R4	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
PIK3R3	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
PIK3R2	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
PIK3R1	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
ERBB2	Genomic_Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRC	Genomic_Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3C2B	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
PIK3C2A	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
MTOR	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
IGFR	Genomic_Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF-1R	Genomic_Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALK	Genomic_Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SYK	Genomic_Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP2K1	Genomic_Event	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRAF	Genomic_Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3C2G	Genomic_Event	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1
LCK	Genomic_Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTK	Genomic_Event	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NFATC1	TF_Activity	0.313801401772	1.12071231201	-1.34437164825	-1.76047277846	0.56873569142	0.0824372316892	-1.59423571765	-0.953612823268	-2.99220153802	1.27847052871	0.465502080572	-0.479778111231	-1.59182047605	0.291088800513	-0.223229238457	2.12253375106	-0.0500365230142	1.19039228291	-0.812571699086	-1.95571851579	0.0743850500537	0.862210238785	0.490396195631	-0.331834450068	0.680007999406	0.773182795228	1.24674240709	0.626280449329	2.11163332675	0.386720832673	-0.161418923589	-1.88485382658	-0.729092867228	1.73401364873	-1.93927843743	-1.09021131296	-0.904108354481	-0.441076744216	0.984174804469	-1.65540060679	-0.826844928122	2.927646287	-0.860974768555	2.34488143122	0.269004543552	-0.905200592439	0.579751367783	1.26111793856	-2.13288999534	0.699707988551	0.745125640452	-1.81204707886	2.06337411469	-3.06864637566	-2.44359051848	-1.18615922707	0.0456579518257	1.5309061714	-0.134243174359	1.07735546581	0.32584838453	0.279274332198	1.33189592112	1.68671295996	0.799309257137	-2.37504480746	-0.171142829032	1.3051429885	0.342141010554	1.00921831293	1.80724009082	1.13630205946	-1.41124628036	1.78836232865	2.30394339102	-2.56217158771	1.58137253547	0.916273930024	-1.57185311059	1.76195506995	1.29053683693	0.657584738805	0.0440408005445	-1.74771305296	0.339672268707	0.523773577171	0.0903945210239	-0.850853713271	0.205003089334	1.91225070429	0.908741690539	0.793861988676	1.6984577512	-1.37274187383	1.11728283465	-1.38268455388	0.706571975682	1.76336129066	-0.451694640339	-0.28344151212	1.2835233133	-0.823667981019	-2.33104658877	0.0551633403805	-1.11250217585	1.11312618316	0.69315195879	-0.337072447773	-0.811479038423	1.30717997573	0.658534571785	-2.30749799388	1.80058999936	0.163884455456	0.878479443729	-0.186316145471	-2.41176850528	0.874878480017	-0.932993079899	-1.89033287868	-0.695881664215	-0.180149600604	-3.04523530278	2.30970838511
